SP_Hole_ID,From_Hole_Position,To_Hole_Position,SB_Box_Label,lith_test,F_ppm,Na_pct,Mg_pct,Al_pct,Si_pct,P_pct,S_pct,K_pct,Sc_ppm,Ti_ppm,V_ppm,Li_ppm,Be_ppm,Ca_pct,Cr_ppm,Mn_ppm,Fe_pct,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,As_ppm,Se_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Mo_ppm,Ag_ppm,Cd_ppm,In_ppm,Sn_ppm,Sb_ppm,Te_ppm,Cs_ppm,Ba_ppm,La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Hf_ppm,Ta_ppm,W_ppm,Re_ppm,Tl_ppm,Pb_ppm,Bi_ppm,Th_ppm,U_ppm
GV003,6,7,3,1,8621.3515,0.2946,1.2666,5.3165125,21.6529875,0.1193375,3.5416625,2.5923375,8.67725,3118.884875,77.835625,38.61666667,1.9935,1.459216667,106.4086667,983.1295,8.513033333,30.33366667,27.4445,368.3781667,858.0926667,21.52283333,84.17883333,2.1655,282.726,261.3346667,53.65366667,197.6633333,26.73083333,78.98083333,1.101166667,0.598333333,0.122666667,11.23916667,36.63766667,0.669666667,3.527833333,16983.736,672.0823333,881.1716667,63.51633333,181.8365,20.91266667,7.607333333,12.876,1.674833333,9.811666667,1.958166667,5.624666667,0.668333333,4.882166667,0.735166667,6.1655,1.324833333,78.05066667,0.003833333,1.142166667,288.3353333,1.484166667,21.8415,33.68310661
GV003,7,8,3,1,8361.412625,0.30135,1.1841,5.03135,20.4518375,0.124225,3.8738625,2.5172125,7.851,2909.263625,76.538125,42.714,1.939555556,1.409188889,169.0202222,719.995,9.498577778,34.90444444,38.20611111,500.7953333,1377.053778,21.69966667,94.14333333,2.246666667,280.4237778,265.6155556,47.67344444,178.2205556,26.30744444,93.57644444,0.925444444,0.929222222,0.129111111,11.56566667,37.69,0.683333333,3.468777778,18622.64911,624.6266667,848.3513333,62.46355556,176.8893333,20.853,7.438,12.939,1.643,9.074222222,1.830666667,5.035222222,0.593444444,4.501,0.656333333,5.641777778,1.14,84.97311111,0.003444444,1.169111111,320.0191111,1.358888889,20.31844444,34.96450135
GV003,8,9,3,1,11512.51514,0.296742857,1.163985714,4.620457143,20.69361429,0.123542857,3.620242857,2.237157143,7.767571429,2916.023,79.56742857,43.005,1.843833333,1.642583333,154.2548333,558.285,9.063033333,32.41833333,32.02483333,461.9016667,1283.945667,20.0695,100.9741667,2.1985,276.4066667,267.8725,50.0895,185.467,27.17466667,91.60966667,0.9315,0.732166667,0.127,11.23033333,43.34716667,0.7035,3.424333333,17284.606,602.504,826.624,61.45533333,174.4555,20.84783333,7.534833333,13.4895,1.688666667,9.4325,1.8705,5.229333333,0.604833333,4.613833333,0.685833333,5.909833333,1.2195,80.87183333,0.0035,1.167166667,321.2,1.8925,21.51533333,33.72703312
GV003,9,10,3,1,15811.40763,0.43885,1.2833625,5.033875,22.403625,0.1278875,3.2355375,2.4966,8.726,3186.911625,86.361125,44.182875,1.8415,2.562225,194.643875,543.304375,8.0059125,34.162,47.61825,562.345,1551.460875,20.062375,113.394375,2.303625,273.519625,301.863,60.18825,223.914625,29.051125,102.085625,1.148875,1.068,0.129875,13.474,61.573875,0.876875,3.693,18887.69213,848.873,1076.101625,80.062375,215.478625,23.751375,9.820625,15.095,1.944,10.929,2.137,5.972375,0.70775,5.118625,0.77275,6.606125,1.421125,103.725,0.005125,1.195,325.31,3.227375,24.019125,40.99367164
GV003,10,11,4,1,14220.20622,0.312077778,1.359922222,5.032566667,21.60892222,0.123244444,3.632188889,2.525944444,8.977777778,3208.253333,84.48877778,44.51344444,1.825888889,2.259133333,197.8992222,521.1436667,8.800511111,34.49644444,63.07911111,869.3323333,1492.584889,20.53788889,143.8324444,2.376444444,275.025,306.4057778,51.86988889,220.9778889,28.03988889,125.243,1.217555556,1.510222222,0.128333333,13.23211111,87.72922222,1.04,3.698333333,19932.928,746.0037778,938.8825556,65.83333333,177.4286667,20.61977778,9.317111111,13.09377778,1.68,9.705444444,1.935,5.385333333,0.642444444,4.751666667,0.702555556,6.580444444,1.292777778,122.4698889,0.005111111,1.201111111,362.5132222,3.607333333,25.34633333,41.23786086
GV003,11,12,4,1,8846.5444,0.29424,1.19936,5.16488,20.51351,0.12129,3.8598,2.53913,8.1378,2929.5046,83.9249,42.2101,1.9401,1.38784,177.6812,1744.2296,9.45916,36.7682,54.2431,634.5586,1390.3922,20.8632,118.1042,2.3487,272.8058,271.9255,48.2999,178.9525,27.4745,111.742,1.2211,1.2553,0.1322,12.5292,62.6349,0.8222,3.632,19375.7347,712.4848,954.3793,70.8545,200.7684,22.5779,8.3693,13.3208,1.7098,9.2466,1.8741,5.1421,0.6097,4.5255,0.6479,5.531,1.1671,101.6399,0.0052,1.1672,354.265,1.9881,22.0218,38.11470267
GV003,12,13,4,1,8718.6336,0.4845,1.00508,4.57436,21.10522,0.12432,3.73964,2.37996,7.623,2922.797,78.018,43.5768,1.866,1.3471,197.8684,593.9582,8.68774,35.6528,47.1674,947.1426,1573.94,20.6034,98.8394,2.3404,277.7512,276.4884,52.4278,177.607,27.2862,116.3896,1.1252,1.1882,0.1312,12.7492,41.6364,0.873,3.5962,19740.7586,809.3162,1115.7452,82.1726,223.863,24.5942,8.9326,14.979,1.8542,9.8128,1.9842,5.341,0.6336,4.776,0.684,5.4908,1.2282,110.6404,0.0038,1.1784,335.242,1.4956,20.6998,40.04836153
GV003,13,14,5,1,10777.932,0.290466667,1.130733333,4.838933333,20.35646667,0.1331,3.9258,2.534633333,7.642333333,2988.257,86.997,44.528,1.923666667,1.402,188.843,881.8026667,9.617333333,34.76066667,26.479,355.9946667,1484.745667,21.38466667,92.05833333,2.271666667,283.1516667,269.9663333,45.41433333,177.1833333,25.977,84.91166667,1.109,0.529333333,0.13,11.655,40.62333333,0.707,3.532666667,17736.51467,630.4496667,846.3826667,61.191,176.6056667,20.168,7.211666667,12.17333333,1.555,8.775,1.783666667,4.917333333,0.579666667,4.384333333,0.626333333,5.596,1.082666667,78.23933333,0.003333333,1.153666667,322.2763333,1.677666667,19.59133333,32.557626
GV003,14,15,5,1,10147.466,0.28525,1.21944,5.03527,21.7373,0.18806,3.51843,2.51442,9.1345,3195.2494,98.1826,43.1418,1.9328,1.59268,152.6122,717.6609,9.11987,33.6495,33.6635,724.1686,1241.4617,20.3918,97.7262,2.3349,280.4586,275.0884,54.2068,194.5555,26.9278,112.1881,1.2125,0.7842,0.1293,12.1298,42.4376,0.9028,3.6127,18572.2428,687.0662,919.9221,68.2306,188.7858,23.1158,8.2136,14.5132,1.8327,10.3086,2.0271,5.5985,0.664,4.9173,0.7188,6.0007,1.1336,101.8395,0.0042,1.1693,311.3005,1.7416,20.2996,36.81092562
GV003,15,16,5,1,10161.61175,0.348125,1.21085,5.180775,21.878925,0.13035,3.516,2.545625,8.15275,3041.731,81.1475,42.941,1.941,1.8282,139.9708,541.521,8.25038,31.3138,31.8738,619.2086,1176.9036,21.0372,100.707,2.3004,279.8864,283.196,52.9256,195.334,27.1346,101.9562,1.1218,0.729,0.1288,12.8992,45.3182,0.847,3.7046,18326.2832,834.4354,1159.6838,84.7648,232.903,25.9372,9.2564,15.4728,1.9658,10.1636,2.0422,5.4766,0.6558,4.8842,0.6992,6.1218,1.2844,103.5598,0.004,1.1838,319.3122,2.1408,21.6862,38.41676879
GV003,16,17,6,1,11366.46867,0.307,1.235344444,5.2542,21.61575556,0.179588889,3.727077778,2.612144444,8.473888889,3094.735444,81.50211111,43.40688889,1.825333333,1.890477778,177.8527778,496.3265556,8.082622222,31.14066667,38.26788889,506.3958889,1393.478889,21.16933333,96.57211111,2.278777778,277.9272222,294.883,54.78111111,220.9305556,27.88066667,102.2234444,1.032777778,1.030555556,0.126111111,12.53755556,43.05733333,0.882555556,3.666555556,18435.03667,766.722,1033.178,75.72166667,208.6735556,23.16088889,8.292111111,14.45055556,1.808888889,10.17755556,2.012222222,5.605222222,0.661222222,4.955666667,0.747222222,6.649222222,1.342333333,103.7532222,0.003888889,1.198333333,336.5102222,2.064111111,25.02055556,37.07137822
